Source ID,URL,Register Record Count,Register Record IDs,Price Observation Count,Price Observation IDs,Total Uses,Published Count,Count Reconciliation,Detail URL
SRC-001,https://archive.harobikes.com/,1,EPH-0004,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-001/
SRC-002,https://archive.harobikes.com/bmx,7,EPH-0023 | EPH-0024 | EPH-0025 | EPH-0027 | EPH-0028 | EPH-0029 | EPH-0030,0,,7,7,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-002/
SRC-003,https://bmxmuseum.com/bikes/redline/,1,EPH-0010,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-003/
SRC-004,https://bmxmuseum.com/reference/1911,1,EPH-0007,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-004/
SRC-005,https://bmxmuseum.com/reference/5027,4,EPH-0006 | EPH-0031 | EPH-0032 | EPH-0033,0,,4,4,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-005/
SRC-006,https://edwardkoenning.blogspot.com/2012/09/,1,EPH-0008,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-006/
SRC-007,https://in.pinterest.com/pin/1011550766308215575/,2,EPH-0002 | EPH-0017,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-007/
SRC-008,https://jmcbmx.wordpress.com/2010/02/03/81-jmc-factory-team-advertisement/,1,EPH-0015,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-008/
SRC-009,https://jmcbmx.wordpress.com/2010/02/03/april-1981-advertisement/,1,EPH-0014,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-009/
SRC-010,https://jmcbmx.wordpress.com/2010/02/03/july-1979-advertisement/,1,EPH-0013,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-010/
SRC-011,https://jmcbmx.wordpress.com/about/,1,EPH-0016,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-011/
SRC-012,https://jmcbmx.wordpress.com/page/3/,3,EPH-0013 | EPH-0014 | EPH-0015,0,,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-012/
SRC-013,https://mx.pinterest.com/pin/430304939389697467/,0,,2,BM-PRICE-0003 | GTD-PR-0002,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-013/
SRC-014,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,3,EPH-0020 | EPH-0022 | EPH-0053,19,GTD-PR-0003 | GTD-PR-0004 | GTD-PR-0005 | GTD-PR-0006 | GTD-PR-0007 | GTD-PR-0008 | GTD-PR-0009 | GTD-PR-0010 | GTD-PR-0011 | GTD-PR-0012 | GTD-PR-0013 | GTD-PR-0014 | GTD-PR-0015 | GTD-PR-0016 | GTD-PR-0017 | HAR-PR-0001 | HAR-PR-0002 | HAR-PR-0003 | HAR-PR-0004,22,22,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-014/
